judul,abstrak,fakultas,bahasa,keywords,link
Evaluasi Penurunan Tanah Akbibat Preloading di Manyar Gresik,"Wilayah kota Gresik dan sekitarnya mempunyai kondisi tanah dengan kandungan berupa tanah alluvium. Kondisi tanah dasar yang sangat lunak menyebabkan penurunan tanah dan muka air tanah menjadi lebih tinggi dari daratan. Sehingga perlu adanya reklamasi untuk lahan bangunan, pelabuhan dan lain sebagainya. Oleh karena itu penurunan tanah sangat penting untuk diperhitungkan dalam kondisi tanah lunak. Tugas akhir ini membahas evaluasi penurunan tanah yang terjadi di Manyar Gresik. Evaluasi ini dilakukan untuk mengetahui kondisi konsolidasi tanah serta memprediksi penurunan tanah maksimal yang terjadi dilapangan. Pada evaluasi penurunan tanah di titik CPTu akan meggunakan metode Schertmann untuk mengetahui konsolidasi tanah. Parameter yang digunakan untuk mengetahui kondisi tanah adalah memakai data tekanan air pori (Bq). Hasil analisa kondisi konsolidasi dari CPTu-01 sampai dengan CPTu-05 didapat sebagai berikut: CPTu-01 65%; CPTu-02 66,67%; CPTu-03 54,16%; CPTu-04 50,71%; CPTu-05 78,67%, sehingga masih mengalami konsolidasi.Selain itu pada prediksi penurunan tanah akan menggunkan data settlement plate yang sudah ada dilapangan lalu dianalisa dengan metode Asaoka. Analisa penilaian dari metode Asaoka dari SP-01 sampai dengan SP-16 sebagai berikut SP-01 84,08%; SP-02 99,44%; SP-03 97,32%; SP-04 92,38%; SP-05 86,83%; SP-06 78,34%; SP-07 88,49%; SP-08 89,01%; SP-09 68,92%; SP-10 74,29%; SP-11 88,47%; SP-12 78,16%; SP-13 92,40%; SP-14 96,16%; SP-15 95,77%; SP-16 98,47%. Menurut hasil analisa diatas masih mengalami penurunan, karena data monitoring lapangan nilainya lebih kecil dari pada nilai penurunan metode Asaoka",10,id,Teknik Sipil; Teori Konsolidasi; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/89306 
"Hubungan antara Kecepatan Kendaraan dengan Jari-Jari Tikungan, Derajat Lengkung,dan Kelandaian Memanjang Jalan di Jalan Raya Wringin Kabupaten Bondowoso","Data primer dan sekunder digunakan untuk memodelkan hubungan antara kecepatan dengan jari-jari lengkung, derajat lengkung, dan kelandaian memanjang jalan di Jalan Raya Wringin Kabupaten Bondowoso. Data primer dan sekunder meliputi kecepatan kendaraan, jari-jari tikungan, derajat lengkung, dan kelandaian memanjang jalan. Pada penelitian ini, kecepatan kendaraan sebagai variabel terikat dan jari-jari, derajat lengkung, dan kelandaian sebagai variabel bebas. Kecepatan dihubungkan dengan jari-jari dan derajat lengkung. Kelandaian sebagai dasar pengelompokan tikungan berdasarkan batas kelandaian.",10,id,"Jari-Jari Tikungan, Derajat Lengkung dan Kelandaian; Undergraduat Thesis",https://repository.unej.ac.id/handle/123456789/93466 
STUDI OPTIMASI ALOKASI AIR PADA DAERAH IRIGASI BALUD KABUPATEN BONDOWOSO MENGGUNAKAN PROGRAM LINEAR,"Daerah Irigasi Balud secara administratif berada di wilayah Kabupaten Bondowoso yang meliputi tiga kecamatan, yaitu Kecamatan Sukosari, Kecamatan Wonosari, dan Kecamatan Pujer. DaerahIrigasi Balud memanfaatkan sumber air dari Sungai Balud melalui Bendung Balud sebagai penangkap airnya. Bendung Balud mengalirkan air untuk mengairi areal baku sawah seluas 1.074 Ha. Dalam perkembangannya pengoperasian Daerah irigasi Balud telah mengalami banyak perubahan kondisi dan penurunan fungsi serta keterbatasan air yang tersedia, dilakukanlah studi optimasi agar dapat memaksimalkan keuntungan hasil usaha tani berdasar luas tanaman yang optimal. Untuk analisa ini digunakan program linier dengan program bantu Quantitative Methods for Windows",10,id,Daerah Irigasi Balud secara administratif berada di wilayah Kabupaten Bondowoso yang meliputi tiga kecamatan; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/77795 
Analisis Kinerja Struktur Bangunan Bertingkat Menggunakan Metode Statik Nonlinier Pushover (Studi Kasus :Hotel Grand Padis Bondowoso,"Sambungan yang digunakan adalah sambungan baut dan sambungan las, untuk detail gambar dapat dilihat pada lampiran. Hasil evaluasi kinerja struktur gedung berdasarkan ATC-40, FEMA-356 dan FEMA-440 menunjukkan bahwa kondisi gedung aman, hal tersebut dibuktikan bahwa nilai displacement pada ketiga metode tersebut tidak ada yang melebihi dari syarat SNI-1726-2012, Selain itu jika dilihat dari nilai drift ratio tingkat kinerja struktur termasuk dalam kategori Immediate Occupancy yang artinya bangunan masih aman untuk kegiatan operasional setelah terjadi gempa, ada kerusakan yang bersifat minor, namun perbaikannya tidak mengganggu pemakaian bangunan.",10,id,Kinerja Metode Statik Nonlinier Pushover; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/91870 
PENENTUAN LETAK DAN KAPASITAS KAPASITOR MENGGUNAKAN ANT COLONY OPTIMIZATION UNTUK PENGURANGAN RUGI DAYA PADA SISTEM 150 KV AREA TAPAL KUDA,"Kebutuhan akan energi listrik diberbagai bidang seperti industri, rumah tangga, kesehatan dan pendidikan membuat adanya penyerapan daya reaktif yang menimbulkan jatuh tegangan di sisi penerima. Untuk itu dilakukanlah penentuan letak dan kapasitas kapasitor untuk mengurangi rugi daya dan memperbaiki besar profil tegangan dengan menggunakan Newton Raphson dan metode optimasi ACO. Pada percobaan pertama dilakukan pemasangan kapasitor pada semua bus kritis dengan kapasitas maksimal 200 MVAR dan pemasangan kapasitor pada satu titik bus kritis dengan kapasitas maksimal 1800 MVAR. Metode optimasi ACO menunjukkan bahwa rugi daya aktif dapat turun sebesar 94.2920+j985.080 MVA dengan profil tegangan 0.998 pu-1.035 pu dan total kapasitas kapasitor yang dipasang sebesar 620 MVAR.",10,id,Jatuh Tegangan; Rugi Daya Aktif; Ant Colony Optimization; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/67150 
PERBANDINGAN ANALISIS PELAT KONVENSIONAL DAN PELAT DATAR (FLAT SLAB) MENGGUNAKAN METODE RANGKA EKUIVALEN,"Pelat berdasarkan aksi strukturalnya dibedakan menjadi dua macam yaitu pelat satu arah (one way slab) dan pelat dua arah (two way slab). Pelat satu arah adalah pelat beton bertulang yang perbandingan panjang terhadap lebarnya lebih besar dari dua dimana aksi struktural pelat bersifat satu arah karena ditumpu pada kedua sisi yang berlawanan saja, sedangkan pelat dua arah aksi strukturalnya bersifat di kedua arah karena ditumpu pada keempat sisinya seperti konstruksi pelat yang sering digunakan yaitu pelat konvensional. Namun terdapat juga pelat yang langsung ditumpu oleh kolom tanpa ada balok-balok yang menopangnya, konstruksi pelat seperti ini disebut dengan pelat datar ( flat slab). Penelitian ini bertujuan untuk mengetahui perbandingan momen lentur dan lendutan yang terjadi pada pelat konvensional dan flat slab yang di analisis menggunakan metode rangka ekuivalen dimana struktur di ubah menjadi serangkaian rangka komponen dua dimensi yang berpusat pada lajur kolom. Perbedaan secara umum dari kedua jenis pelat ini adalah ada dan tidak adanya balok-balok di antara kolom, namun dari segi analisis struktur perbedaan tersebut dianggap tidak terlalu penting karena apabila balok yang memiliki dimensi direncanakan dapat berinteraksi dengan pelat maka penggunaan balok-balok dengan ukuran nol hanya merupakan keadaan batas. Berdasarkan hasil pembahasan diketahui bahwa momen pada flat slab ratarata lebih besar 25,03 % dibanding momen pada pelat konvensional dan untuk perbandingan lendutan, lendutan maksimum kedua jenis pelat terjadi di lajur tengah bentang dalam dengan lendutan pada flat slab lebih besar 22,42 % dibanding lendutan maksimum pada pelat konvensional atau dengan selisih lendutan sebesar 0,886 mm. viii Tetapi volume beton pada pelat konvensional lebih besar 11,42% dibanding volume beton pada flat slab Sehingga dari hasil analisis dari kedua tipe pelat penggunaan pelat konvensional lebih direkomendasikan digunakan dilapangan karena apabila perbandingan momen dihubungkan dengan perbandingan volume beton dari kedua tipe pelat, pelat konvensional lebih baik dibanding flat slab. Saran untuk penelitian selanjutnya adalah dicoba menganalisis gaya dalam akibat adanya pengaruh beban lateral seperti beban gempa selain itu dicoba untuk membandingkan faktor teknis pelaksanaan dan estimasi biaya dari perencanaan kedua tipe pelat sehingga bisa mendekati kondisi sesungguhnya.",10,other,Pelat Konvensional Dan Pelat Datar (Flat Slab); Other,https://repository.unej.ac.id/handle/123456789/5457 
ANALISIS KUALITAS PANGGILAN LAYANAN SUARA PADA JARINGAN GSM BERDASARKAN HOSR TERHADAP DROP CALL RATE PADA MODEL PROPAGASI OKUMURA-HATTA,"Setiap penyedia jaringan komunikasi bergerak (provider), termasuk jaringan GSM, berusaha memberikan pelayanan yang terbaik. Handover adalah elemen penting dari komunikasi seluler. Salah satu cara untuk meningkatkan kinerja jaringan seluler adalah dengan mengoptimalkan prioritas skema handover ketika pengguna bergerak dari sel satu ke sel lainnya. Penelitian ini bertujuan menganalisa pengaruh Handover Successfull Rate (HOSR) terhadap kualitas panggilan suara pada jaringan GSM dengan menggunakan TEMS Investigation. Dilakukan pengukuran parameter kualitas panggilan yang meliputi RxLevel, RxQual dan SQI dengan cara drive test di daerah Denpasar pada site cluster Gunung Soputan, juga dihitung Link Budget dari suatu BTS atau site. Hasil penelitian menunjukkan bahwa dari kelima site pada site cluster Gunung Soputan, site BERAWAMNMD yang memiliki performansi jaringan paling buruk diantara keempat site lainnya dengan prosentase CSSR dan HOSR yang lebih buruk dibanding keempat site lainnya. Sehingga membuat prosentase drop call rate 20,83% dan block call 19,23% yang melebihi batas yang sudah ditentukan sebesar ≤5%. Dan hanya site JELEKUNGKANGMG yang memenuhi standar dari PT. Telkomsel ini sesuai dengan analisis event drive test site JELEKUNGKANGMG yang tidak terdapat satupun kasus ataupun permasalahan.",10,id,GSM; Handover Successfull Rate (HOSR); TEMS Investigation; drive test; Link Budget; drop call rate; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/67154 
"EVALUASI TINGKAT KERUSAKAN PERKERASAN JALAN DENGAN METODE PAVEMENT CONDITION INDEX (Studi Kasus: Jalan M.H. Thamrin, Ajung, Jember)","Jalan M.H. Thamrin merupakan jalur pengalih bagi kendaraan berat yang hendak melintasi kota Jember. Beban lalu lintas yang tinggi menyebabkan banyak terjadi kerusakan, sehingga mengganggu kenyamanan dan keselamatan berkendara. Tujuan dari penelitian ini adalah untuk menilai kondisi perkerasan jalan M.H. Thamrin. Penelitian dilakukan secara visual dengan metode Pavement Condition Index. Jalan M.H. Thamrin dengan panjang 2.5 km dibagi menjadi beberapa segmen dengan ukuran 100 x 8 m per segmennya. Masing-masing segmen di evaluasi dengan mengukur dimensi, identifikasi jenis dan tingkatan kerusakannya untuk mendapatkan nilai PCI. Hasil analisa menunjukkan bahwa kerusakan yang terjadi antara lain retak kulit buaya, keriting, amblas, retak pinggir, retak melintang dan memanjang, tambalan, lubang, jembul, retak selip, dan pelepasan butiran. Nilai PCI rata-rata untuk Jalan M.H. Thamrin adalah 39.08 yang dikategorikan dalam kondisi jelek, sehingga perlu suatu penanganan serius dari pemerintah untuk segera melakukan perbaikan sebelum kerusakan menjadi lebih parah.",10,other,"Perkerasan Jalan, Metode Pavement Condition Index; Other",https://repository.unej.ac.id/handle/123456789/58381 
MANAJEMEN KESELAMATAN DAN KESEHATAN KERJA DITINJAU DARI ASPEK UNSAFE ACTION PADA PROYEK PEMBANGUNAN APARTEMENT EDUCITY - SURABAYA,"Sebagai seorang calon kontraktor tentunya telah mengenal dan mengerti tentang resiko kerja. Sekalipun bersifat umum , setiap kecelakaan tidak bisa dilepaskan dari faktor ekonomi dalam suatu lingkungan kerja. Dan tentunya pencegahan kecelakaan dan  keselamatan kerja tidak hanya dinilai dari biaya pencegahannya, tetapi juga dari segi perilaku manusianya. Oleh karena itu Manajemen sebagai satu ilmu perilaku yang tentunya mencakup aspek sosial dan eksak tidak dapat terlepas dari tanggung jawab Keselamatan dan Kesehatan Kerja, mulai segi perencanaan, maupun pengambilkan keputusan hingga organisasi. Statistik mengungkapkan bahwa 80% kecelakaan disebabkan oleh perbuatan yang tidak selamat ( Unsafe  action ) dan hanya 20 % oleh kondisi yang tidak selamat (unsafe condition).Dan Tujuan Penelitian saya disini tentunya menentukan apakah pada pryek pembangunan apartemen educity – surabaya ini K3 yang ditinjau dari aspek unsafe action telah diterapkan secara benar atau tidak . Penelitian dilakukan saat proyek pertama kali dimulai dengan melakukan observasi di lapangan dan pengambilan sampel sebanyak 15 orang pekerja melalui penyebaran kuisioner, wawancara, mulai dari item pekerjaan Pemancangan, Bekisting, Penulangan, pengecoran. Setelah itu dilakukan (1) rekapitulasi data, (2) pengolahan data dengan uji Chi-Square dengan bantuan software SPSS v.16 for windows, (3). Dari hasil observasi di lapangan menunjukkan bahwa K3 ditinjau dari aspek unsafe action tidak diterapkan. Sebanyak 4 item yang telah ditinjau ternyata 3 dari item tersebut tidak menerapkan unsafe action dan hanya 1 item saja yang menerapkan usafe action pada proyek Pembangunan Apartement Educity – Surabaya",10,other,"manajemen , keselamatan dan kesehatan kerja, unsafe action  , apartemen; Other",https://repository.unej.ac.id/handle/123456789/9221 
Evaluasi Kompetensi Kontraktor Berdasarkan Bidang Keahlian Menurut Peraturan Lpjk No 3 Tahun 2017 Di Kabupaten Jember (Studi Kasus 4 Paket Pembangunan Gedung),Kesalahan kontraktor dalam melakukan tender pada paket pekerjaan pengadaan barang/jasa merupakan kesalahan yang sangat fatal sebab pada paket pekerjaan pengadaan barang/jasa.,10,id,Kompetensi Kontraktor; Undergraduat Thesis,https://repository.unej.ac.id/handle/123456789/88458 
